,xs1,xs2,xs3,xs4,xs5,xs6,xs7,xs8,label
0,21.751715,61.307276,618.654482,91.743422,110.682565,344.134531,618.821437,93.127526,5
1,20.843854,62.192818,616.071419,90.748548,110.575013,343.9367,603.588138,90.831426,7
2,22.351951,61.188159,608.286834,93.406495,111.100513,344.405736,608.052302,92.037413,8
3,22.086468,60.904505,600.99825,91.429423,111.308311,334.608365,619.863718,92.563127,5
4,21.932264,61.085236,609.566078,92.454861,111.116912,346.539947,613.282889,93.163561,2
5,21.454562,62.348259,616.665364,93.204525,111.02812,340.876562,614.690144,91.92099,1
6,22.065865,62.254425,609.358697,90.922556,111.219466,346.424477,608.236777,91.16458,0
7,21.928183,62.073192,616.80622,92.148233,110.822654,330.77453,602.710273,92.096069,8
8,20.716403,61.305718,619.431085,91.12908,110.887006,342.475628,617.416732,91.266181,5
9,22.190821,61.02863,614.229833,92.781645,110.575377,343.079973,620.513028,92.797676,7
10,21.226811,62.337112,611.325468,90.710706,111.179031,341.816689,608.323921,92.62406,7
11,21.373983,61.242648,617.157839,92.186417,110.764049,343.731174,604.448701,90.995192,3
12,20.602488,60.975469,620.471493,91.226372,110.60395,342.266879,617.554768,93.189487,7
13,21.708643,61.415523,617.296674,92.964966,110.568293,335.916941,609.683929,93.393495,1
14,20.907691,62.534708,611.96676,91.772103,110.952127,341.368216,611.748299,91.23075,7
15,22.179372,61.151556,612.313737,90.56618,111.500757,348.789207,606.05693,92.608712,3
16,21.841758,62.026116,605.716166,90.707227,111.189598,343.176716,613.792198,92.422754,6
17,21.183693,60.954453,602.860591,90.668689,111.2613,338.883373,606.892606,90.697579,1
18,21.623873,61.079637,611.924297,93.087972,111.374167,336.847421,605.680394,90.66704,6
19,21.403715,61.048993,615.231551,91.147419,111.527498,334.782453,605.566619,91.846076,5
20,20.987461,61.545339,609.190778,91.445417,111.518938,337.174625,610.043557,90.709506,7
21,22.293124,60.993907,610.131517,91.331254,110.59995,348.403686,619.423821,92.162499,5
22,21.570714,61.663385,610.29641,93.319783,111.19368,345.289842,616.416096,93.004837,3
