Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2021, M, 4.48, 16516412.00, 39.62
Andhra Pradesh, 28-02-2021, M, 3.74, 16736552.00, 39.78
Andhra Pradesh, 31-03-2021, M, 5.88, 15752408.00, 38.24
Andhra Pradesh, 30-04-2021, M, 4.91, 15834266.00, 37.99
Andhra Pradesh, 31-05-2021, M, 12.83, 15092065.00, 39.44
Andhra Pradesh, 30-06-2021, M, 7.43, 15559239.00, 38.24
Andhra Pradesh, 31-07-2021, M, 8.68, 15485255.00, 38.52
Andhra Pradesh, 31-08-2021, M, 6.49, 16159788.00, 39.20
Assam, 31-01-2021, M, 1.53, 13177962.00, 50.57
Assam, 28-02-2021, M, 1.65, 11283161.00, 43.27
Assam, 31-03-2021, M, 1.06, 11122329.00, 42.31
Assam, 30-04-2021, M, 0.19, 10349575.00, 38.95
Assam, 31-05-2021, M, 0.05, 15248170.00, 57.19
Assam, 30-06-2021, M, 0.62, 10234141.00, 38.53
Assam, 31-07-2021, M, 1.90, 11247012.00, 42.81
Assam, 31-08-2021, M, 6.65, 10228186.00, 40.83
Bihar, 31-01-2021, M, 10.50, 28016910.00, 38.97
Bihar, 28-02-2021, M, 11.47, 25685968.00, 36.05
Bihar, 31-03-2021, M, 14.60, 25734604.00, 37.36
Bihar, 30-04-2021, M, 11.54, 24727431.00, 34.58
Bihar, 31-05-2021, M, 13.83, 27342817.00, 39.17
Bihar, 30-06-2021, M, 10.50, 25380747.00, 34.94
Bihar, 31-07-2021, M, 13.02, 25373093.00, 35.86
Bihar, 31-08-2021, M, 13.61, 23991739.00, 34.06
Chhattisgarh, 31-01-2021, M, 6.38, 8828785.00, 41.78
Chhattisgarh, 28-02-2021, M, 5.99, 8882237.00, 41.77
Chhattisgarh, 31-03-2021, M, 2.69, 8580167.00, 38.89
Chhattisgarh, 30-04-2021, M, 3.04, 9463460.00, 42.96
Chhattisgarh, 31-05-2021, M, 8.03, 9313760.00, 44.47
Chhattisgarh, 30-06-2021, M, 2.57, 9485491.00, 42.66
Chhattisgarh, 31-07-2021, M, 3.25, 8798367.00, 39.76
Chhattisgarh, 31-08-2021, M, 3.78, 8832789.00, 40.04
Delhi, 31-01-2021, M, 12.51, 5157974.00, 36.65
Delhi, 28-02-2021, M, 7.99, 5176344.00, 34.90
Delhi, 31-03-2021, M, 9.41, 5123006.00, 35.00
Delhi, 30-04-2021, M, 27.32, 4160172.00, 35.33
Delhi, 31-05-2021, M, 45.56, 2879334.00, 32.56
Delhi, 30-06-2021, M, 8.80, 5089957.00, 34.28
Delhi, 31-07-2021, M, 10.70, 5013429.00, 34.40
Delhi, 31-08-2021, M, 11.57, 5058858.00, 34.97
Goa, 31-01-2021, M, 16.01, 424096.00, 38.93
Goa, 28-02-2021, M, 20.58, 438421.00, 42.51
Goa, 31-03-2021, M, 22.08, 393170.00, 38.81
Goa, 30-04-2021, M, 25.73, 366499.00, 37.92
Goa, 31-05-2021, M, 20.49, 450287.00, 43.47
Goa, 30-06-2021, M, 17.89, 405565.00, 37.87
Goa, 31-07-2021, M, 21.71, 398314.00, 38.96
Goa, 31-08-2021, M, 12.61, 459677.00, 40.24
Gujarat, 31-01-2021, M, 3.19, 24009720.00, 46.00
